nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment
mr-0xc11,1543726296,1543726329,groupby,G1_1e7_2e0_0_0,10000000,sum v1 by id1,2,2,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,1,0.159,0.845,TRUE,30001016,0.001,NA
mr-0xc11,1543726296,1543726330,groupby,G1_1e7_2e0_0_0,10000000,sum v1 by id1,2,2,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,2,0.158,0.845,TRUE,30001016,0,NA
mr-0xc11,1543726296,1543726331,groupby,G1_1e7_2e0_0_0,10000000,sum v1 by id1:id2,4,3,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,1,0.234,0.826,TRUE,30001016,0.001,NA
mr-0xc11,1543726296,1543726332,groupby,G1_1e7_2e0_0_0,10000000,sum v1 by id1:id2,4,3,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,2,0.223,0.826,TRUE,30001016,0,NA
mr-0xc11,1543726296,1543726334,groupby,G1_1e7_2e0_0_0,10000000,sum v1 mean v3 by id3,4323484,3,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,1,1.295,0.997,TRUE,30001016;218993175,0.023,NA
mr-0xc11,1543726296,1543726336,groupby,G1_1e7_2e0_0_0,10000000,sum v1 mean v3 by id3,4323484,3,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,2,1.29,0.997,TRUE,30001016;218993175,0.023,NA
mr-0xc11,1543726296,1543726337,groupby,G1_1e7_2e0_0_0,10000000,mean v1:v3 by id4,2,4,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,1,0.226,0.901,TRUE,6.000203;5.999612;101.314,0,NA
mr-0xc11,1543726296,1543726338,groupby,G1_1e7_2e0_0_0,10000000,mean v1:v3 by id4,2,4,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,2,0.233,0.901,TRUE,6.000203;5.999612;101.314,0.001,NA
mr-0xc11,1543726296,1543726340,groupby,G1_1e7_2e0_0_0,10000000,sum v1:v3 by id6,4323579,4,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,1,1.641,1.013,TRUE,30001016;29998058;506570021,0.042,NA
mr-0xc11,1543726296,1543726343,groupby,G1_1e7_2e0_0_0,10000000,sum v1:v3 by id6,4323579,4,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,2,1.627,1.002,TRUE,30001016;29998058;506570021,0.047,NA
mr-0xc11,1543726296,1543726344,groupby,G1_1e7_1e2_0_1,10000000,sum v1 by id1,100,2,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,1,0.122,0.517,TRUE,30001016,0.001,NA
